State,State Abbreviation,State FIPS Code,Closed K-12 public schools,Closed day cares,Banned visitors to nursing homes,Closed other non-essential businesses,Closed restaurants except take out,Closed gyms,Closed movie theaters,Closed bars,Closed casinos,Mention of Tribal Casinos,Began to reopen businesses statewide,Reopened restaurants,Initially reopened restaurants for outdoor dining only,Reopened gyms,Reopened movie theaters,Reopened hair salons/barber shops,Reopened religious gatherings,Reopened other non-essential retail,Reopened bars,Reopened child care,Reopened casinos,Begin to Re-Close Bars,Re-Close Bars (statewide),Re-Close Movie Theaters (statewide),Re-Close Gyms (statewide),Re-close hair salons and barber shops (statewide),Re-Close Indoor Dining (Statewide),Re-close casinos (statewide),Re-open indoor dining statewide x2,Re-open bars statewide x2,Re-open gyms statewide x2,Re-open movie theaters statewide x2,Re-open casinos x2,Close Bars (x3),Close Movie Theaters (x3),Close Gyms (x3),Close Indoor Dining (x3)
Texas,TX,48,3/21/2020,0,3/21/2020,4/2/2020,3/21/2020,3/21/2020,4/2/2020,3/21/2020,0,0,5/1/20,5/1/20,0,5/18/20,5/1/20,5/8/20,0,5/1/20,5/29/20,0,0,6/26/2020,6/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,UT,49,3/16/2020,0,0,3/27/2020,3/20/2020,3/27/2020,3/27/2020,3/19/2020,0,0,5/1/20,0,0,0,0,5/1/20,5/6/20,0,5/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,VT,50,3/18/2020,3/18/2020,3/13/2020,3/25/2020,3/18/2020,3/23/2020,3/25/2020,3/17/2020,0,0,4/27/20,5/22/20,1,6/1/20,6/1/20,5/29/20,5/23/20,4/27/20,5/22/20,6/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,VA,51,3/16/2020,0,0,3/25/2020,3/26/2020,3/25/2020,3/25/2020,3/25/2020,0,0,5/29/20,5/29/20,1,6/12/20,7/1/20,5/29/20,5/29/20,5/29/20,5/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,WA,53,3/17/2020,0,3/16/2020,3/25/2020,3/16/2020,3/16/2020,3/16/2020,3/17/2020,0,0,6/1/20,7/3/2020,0,8/27/2020,0,7/3/2020,6/1/20,7/3/2020,7/3/2020,0,0,0,11/18/2020,0,11/16/2020,0,11/18/2020,0,0,0,0,0,0,0,0,0,0
West Virginia,WV,54,3/16/2020,3/26/2020,8/13/2020,3/24/2020,3/19/2020,3/19/2020,3/24/2020,3/18/2020,03/18/2020,0,5/4/20,5/4/20,1,5/18/20,6/5/20,5/4/20,0,5/21/20,5/26/20,4/30/20,06/05/2020,7/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,WI,55,3/18/2020,0,0,3/25/2020,3/18/2020,3/25/2020,3/25/2020,3/17/2020,0,0,5/11/20,5/13/20,0,5/13/20,5/13/20,5/13/20,5/13/20,5/11/20,5/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,WY,56,3/19/2020,3/19/2020,0,3/19/2020,3/19/2020,3/19/2020,3/19/2020,3/19/2020,0,0,5/1/20,5/15/20,0,5/1/20,5/15/20,5/1/20,5/15/20,0,5/15/20,5/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total with each policy (out of 51 with DC),,,50,15,31,50,50,50,50,50,23,5,50,49,18,46,42,50,37,47,44,15,21,16,12,5,7,1,8,3,2,2,2,2,2,1,0,0,1
,,,"Did not require executive order if department of education closed all public schools. If spring break prior to closure, considered closure to begin on first day of spring break. If closure announced on weekend, first week day closed is listed. If closure announced in evening, considered to apply to next day. Some states only applied order to public schools.","If closure announced in evening, considered to apply to next day. If closure announced on weekend, first week day closed is listed.",,,,,,,,,*the date a state first reopened any business that was originally ordered to close. Only included if it applies to entire state.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Checked against: https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,Checked against: https://www.childcareaware.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"If not specified in order, the date of closure was the first school day after a closure order was signed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
